LID,ARTIST,EN_TITLE,KR_TITLE,GENRE,IS_OFFICIAL,URL
301,aliee,make up your mind,,k-pop,1.0,
302,jessi,missin' U,,k-pop,1.0,
303,amber liu,shake that brass,,k-pop,0.0,https://youtu.be/rF43V2MHjYs
304,amber liu,on my own,,k-pop,1.0,
305,Hong Jin Young,viva la vida,,k-pop,1.0,
306,alexa,bomb,,k-pop,1.0,
307,chai,gift,,k-pop,1.0,
308,lee joon wha,get up,,k-pop,1.0,
309,sohyang,we are one,,k-pop,1.0,
310,moon,let it flow,,k-pop,1.0,
311,omega x,"you, again",,k-pop,1.0,
312,Yoon Mirae,Get it in,,k-pop,1.0,
313,Taeyeon,Weekend,,k-pop,0.0,https://youtu.be/iUZAD-Lfx4k
314,Lee Boram,Freak,,k-pop,1.0,
315,Baby Vox,Xcstasy,,k-pop,1.0,
316,Kim Jin Ho,The Best of Me,,k-pop,1.0,
317,Yoon Mirae,As Time Goes By,,k-pop,1.0,
318,Wonder Girls,2 Different Tears,,k-pop,1.0,
319,beauty box,rat a rat,,k-pop,1.0,
320,omega x,come together,,k-pop,1.0,
321,Wengie,Empire,,k-pop,1.0,
322,f(x),Electric Shock,,k-pop,0.0,https://youtu.be/htME7eb-AcE
323,Yoon Mi Rae,To My Love,,k-pop,1.0,
324,Taeyang,I'll be there,,k-pop,1.0,
325,Super Junior,Sorry Sorry,,k-pop,0.0,https://youtu.be/Od3enb6N0tA
326,Super Junior,Mr Simple,,k-pop,0.0,https://youtu.be/I73IxMuU9Tc
327,esna,by your side,내가 너의 곁에 잠시 살았다는 걸,k-pop,1.0,
328,Yoon Mirae,Because I love you,,k-pop,1.0,
329,Yoon Mirae,La Musique,,k-pop,1.0,
330,a.irid,first flight,,k-pop,1.0,
331,TRAX X LIP2SHOT,notorious,,k-pop,1.0,
332,DJ Friz,Dive,,k-pop,1.0,
333,hwasaa,love comes,,k-pop,1.0,
334,loona,loonatic,,k-pop,1.0,
335,rania,breath heavy,,k-pop,1.0,
336,blackswan,close to me,,k-pop,1.0,
337,greatguys,touch by touch,,k-pop,1.0,
338,aliee,i will show you,,k-pop,0.0,https://youtu.be/jijUee0_tRU
339,sistar,lonely,,k-pop,0.0,https://youtu.be/tVMA4hpsWIU
340,2ne1,goodbye,,k-pop,0.0,https://youtu.be/gh3hIU-ZpI8
341,aliee,I Will Go To You Like The First Snow,,k-pop,0.0,https://youtu.be/QUxZj9Pch8U
342,taeyeon,11:11,,k-pop,0.0,https://youtu.be/wy1IsPFDjSw
343,aliee,home,,k-pop,0.0,https://youtu.be/j6bjwEUoZoA
344,girl's day,I'll be yours,,k-pop,0.0,https://youtu.be/JjC155vnvr8
345,taeyeon,I,,k-pop,0.0,https://youtu.be/-QWQfx2s-_I
346,hyolin,You know better,,k-pop,0.0,https://youtu.be/dulU7T5jnlU
347,taeyeon,fine,,k-pop,0.0,https://youtu.be/7rhxXIdmyrU
348,hyolin,layin' now,,k-pop,0.0,https://youtu.be/72NACH7yW1o
349,taeyeon,love in color,,k-pop,0.0,https://youtu.be/Mjp33STJqaI
350,got the beat,step back,,k-pop,0.0,https://youtu.be/szSaRiWEJww
351,IU,eight,,k-pop,0.0,https://youtu.be/6ZodxgZshk4
352,girl's generation,forever 1,,k-pop,0.0,https://youtu.be/daocAKfW_64
353,aliee,teardrop,,k-pop,0.0,https://youtu.be/X9RzsLeg3aA
354,4 minute,hate,,k-pop,0.0,https://youtu.be/YnXhQRNacQo
355,girl's generation,다시 만난 세계,,k-pop,0.0,https://youtu.be/a1fPV95o83I
356,apink,dumdurum,,k-pop,0.0,https://youtu.be/cyy32uyFGAk
357,stray kids,tmt,,k-pop,0.0,https://youtu.be/MNHZqerznXI
358,stray kids,Mixtape: On Track (바보라도 알아),,k-pop,0.0,https://youtu.be/H-GYKhZCuQg
359,everglow,no lie,,k-pop,0.0,https://youtu.be/s0gce9rKFg0
360,itzy,ting ting ting,,k-pop,0.0,https://youtu.be/_4scCiWZZJc
